,run,model,family,precision,recall,f1,support
0,squidly,3B,PC,0.8571428571428571,0.8484848484848485,0.8527918781725888,99
1,BLAST,3B,PC,0.9361702127659575,0.8888888888888888,0.9119170984455959,99
2,squidly + BLAST,3B,PC,0.9361702127659575,0.8888888888888888,0.9119170984455959,99
3,squidly,3B,NN,0.8208955223880597,0.8505154639175257,0.8354430379746836,194
4,BLAST,3B,NN,0.9553072625698324,0.8814432989690721,0.9168900804289545,194
5,squidly + BLAST,3B,NN,0.9510869565217391,0.9020618556701031,0.9259259259259259,194
6,squidly,3B,EF_superfamily,0.8565217391304348,0.8995433789954338,0.8775055679287305,219
7,BLAST,3B,EF_superfamily,0.9603960396039604,0.8858447488584474,0.9216152019002376,219
8,squidly + BLAST,3B,EF_superfamily,0.9398148148148148,0.9269406392694064,0.9333333333333332,219
9,squidly,3B,EF_fold,0.847953216374269,0.8787878787878788,0.863095238095238,165
10,BLAST,3B,EF_fold,0.9741935483870968,0.9151515151515152,0.9437500000000001,165
11,squidly + BLAST,3B,EF_fold,0.9627329192546584,0.9393939393939394,0.9509202453987731,165
12,squidly,3B,EF_family,0.8204488778054863,0.8915989159891599,0.8545454545454545,369
13,BLAST,3B,EF_family,0.9378698224852071,0.8590785907859079,0.8967468175388967,369
14,squidly + BLAST,3B,EF_family,0.9346590909090909,0.8915989159891599,0.9126213592233009,369
15,squidly,3B,HA_superfamily,0.7986111111111112,0.8363636363636363,0.8170515097690941,275
16,BLAST,3B,HA_superfamily,0.9446640316205533,0.8690909090909091,0.9053030303030304,275
17,squidly + BLAST,3B,HA_superfamily,0.9283018867924528,0.8945454545454545,0.9111111111111111,275
18,squidly,15B,PC,0.8631578947368421,0.8282828282828283,0.8453608247422681,99
19,BLAST,15B,PC,0.9361702127659575,0.8888888888888888,0.9119170984455959,99
20,squidly + BLAST,15B,PC,0.9361702127659575,0.8888888888888888,0.9119170984455959,99
21,squidly,15B,NN,0.8723404255319149,0.845360824742268,0.8586387434554974,194
22,BLAST,15B,NN,0.9553072625698324,0.8814432989690721,0.9168900804289545,194
23,squidly + BLAST,15B,NN,0.9508196721311475,0.8969072164948454,0.923076923076923,194
24,squidly,15B,EF_superfamily,0.9264705882352942,0.863013698630137,0.8936170212765958,219
25,BLAST,15B,EF_superfamily,0.9603960396039604,0.8858447488584474,0.9216152019002376,219
26,squidly + BLAST,15B,EF_superfamily,0.9519230769230769,0.9041095890410958,0.9274004683840749,219
27,squidly,15B,EF_fold,0.8930817610062893,0.8606060606060606,0.8765432098765432,165
28,BLAST,15B,EF_fold,0.9741935483870968,0.9151515151515152,0.9437500000000001,165
29,squidly + BLAST,15B,EF_fold,0.9625,0.9333333333333333,0.9476923076923076,165
30,squidly,15B,EF_family,0.9161849710982659,0.8590785907859079,0.8867132867132868,369
31,BLAST,15B,EF_family,0.9378698224852071,0.8590785907859079,0.8967468175388967,369
32,squidly + BLAST,15B,EF_family,0.9335260115606936,0.8753387533875339,0.9034965034965035,369
33,squidly,15B,HA_superfamily,0.870722433460076,0.8327272727272728,0.8513011152416358,275
34,BLAST,15B,HA_superfamily,0.9446640316205533,0.8690909090909091,0.9053030303030304,275
35,squidly + BLAST,15B,HA_superfamily,0.9425287356321839,0.8945454545454545,0.917910447761194,275
